name,type,address,googleMapsLink,website,phone,latitude,longitude,neighborhood,logo,lastUpdated
Bottle Bar East,"RetailShake,RetailSauce,Menu","1308 Frankford Ave, Philadelphia, PA 19125",https://maps.app.goo.gl/4VKgCGjFyxcTPMoN6,https://bottlebareast.com,+1 267-909-8867,39.96560624,-75.14223115,Fishtown,BottleBarEastLogo.webp,11/3/2025
Bishop's Collar,"Menu","2349 Fairmount Ave, Philadelphia, PA 19130",https://maps.app.goo.gl/ywPeziYx9iL6jr2K6,https://thebishopscollar.com/,+1 215-765-1616,39.96773515,-75.1769144,Fairmount,TheBishopsCollarLogo.png,11/3/2025
Good Dog Bar,"Menu","224 S 15th St, Philadelphia, PA 19102",https://maps.app.goo.gl/KtRQbUPAzkpvXWSSA,http://www.gooddogbar.com/,+1 215-985-9600,39.94886733,-75.16623194,Center City,GoodDogLogo.jpg,11/3/2025
Herman's Coffee,"RetailSauce","1313 S 3rd St, Philadelphia, PA 19147",https://maps.app.goo.gl/NuxU2rAXhTVnfBTs6,https://www.hermanscoffee.com/,,39.9315074,-75.14980258,Pennsport,HermansCoffeeLogo.jpg,11/3/2025
Jose Pistola's,"Menu","263 S 15th St, Philadelphia, PA 19102",https://maps.app.goo.gl/tuAmpmUmfrfiGc8SA,https://www.pistolaslife.com/,+1 215-545-4101,39.94785077,-75.16624103,Center City,JosePistolasLogo.avif,11/3/2025
Lucky's Last Chance Manayunk,"RetailSauce,Menu","848 S 2nd St Ste F, Philadelphia, PA 19147",https://maps.app.goo.gl/4N7MRdopPSXQKAHq9,https://luckyslastchance.com/,+1 267-519-2080,40.02663928,-75.22560202,Manayunk,LuckysLastChanceLogo.png,11/3/2025
Liberty Kitchen PHL,"RetailShake,RetailSauce,Menu","1400 N Front St, Philadelphia, PA 19122",https://maps.app.goo.gl/ZfdNh6ZB58KJgmB89,https://www.libertykitchenphl.com/,+1 215-309-2241,39.9720826,-75.13541017,Fishtown,LibertyKitchenLogo.webp,11/3/2025
Palm Tree Market,"RetailShake,RetailSauce","717 N 2nd St Frnt, Philadelphia, PA 19123",https://maps.app.goo.gl/DkPvRKnqfV1Dqy5s7,https://palmtreegourmet.com/,+1 215-925-4707,39.96241722,-75.14070029,Northern Liberties,PalmTreeMarketLogo.jpg,11/3/2025
Riverwards Produce Market - Fishtown,"RetailShake,RetailSauce","2200 E Norris St, Philadelphia, PA 19125",https://maps.app.goo.gl/QsmTjLE5WZq3XokV7,https://www.riverwardsproduce.com/,+1 215-678-4304,39.97831851,-75.12990662,Fishtown,RiverwardsProduceLogo.webp,11/3/2025
Riverwards Produce Market - Old City,"RetailShake,RetailSauce","146 N Bread St, Philadelphia, PA 19106",https://maps.app.goo.gl/6F6UQ1jLmjdJQoNEA,https://www.riverwardsproduce.com/,+1 215-592-4650,39.95369256,-75.14400523,Old City,RiverwardsProduceLogo.webp,11/3/2025
Sancho Pistola's,"Menu","19 W Girard Ave, Philadelphia, PA 19123",https://maps.app.goo.gl/oRauU3c1D1k8b4mUA,https://www.pistolaslife.com/,+1 267-324-3530,39.9690229,-75.1352529,Fishtown,SanchoPistolasLogo.png,11/3/2025
Yards Brewing Company,"RetailShake,RetailSauce,Menu","500 Spring Garden St, Philadelphia, PA 19123",https://maps.app.goo.gl/E8a58SYsx3gdmE5b8,https://yardsbrewing.com/,+1 215-634-2600,39.96106058,-75.1469083,Northern Liberties,YardsBrewingLogo.jpg,11/3/2025
Pistola's Del Sur,"Menu","1934 E Passyunk Ave, Philadelphia, PA 19148",https://maps.app.goo.gl/oJ1wcW9wZZbFGMkk7,https://www.pistolaslife.com/,+1 267-519-2329,39.9258992,-75.168405,East Passyunk,PistolasDelSur.png,11/3/2025
Standard Tap,"Menu","901 N 2nd St, Philadelphia, PA 19123",https://maps.app.goo.gl/6e9rRvM3BEnzZgpV7,http://www.standardtap.com/,+1 215 238-0630,39.96431983828253,-75.14054265767028,Northern Liberties,standardtaplogo.webp,11/3/2025
Pennsylvania General Store - Ridge Hall (Ambler),"RetailSauce,RetailShake","15 S Ridge Ave, Ambler, PA 19002",https://maps.app.goo.gl/218Le9bjeSd6ED9x7,https://pageneralstore.com/,,40.15422030132327, -75.2208998,Ambler,PennsylvaniaGeneralStore.avif,11/3/2025
